LocationType,Location,TimeFrame,DataFormat,Data
County,Boone,2014,Number,944
County,Boone,2015,Number,850
County,Boone,2016,Number,1285
County,Boone,2017,Number,1481
County,Boone,2018,Number,1696
County,Boone,2019,Number,1336
County,Boone,2020,Number,1116
County,Boone,2021,Number,947
County,Boone,2022,Number,944
County,Bourbon,2001,Number,281
County,Bourbon,2002,Number,311
County,Bourbon,2003,Number,318
County,Bourbon,2004,Number,448
County,Bourbon,2005,Number,524
County,Bourbon,2006,Number,536
County,Bourbon,2007,Number,449
County,Bourbon,2008,Number,485
County,Bourbon,2009,Number,356
County,Bourbon,2010,Number,386
County,Bourbon,2011,Number,394
County,Bourbon,2012,Number,370
County,Bourbon,2013,Number,276
County,Bourbon,2014,Number,254
County,Bourbon,2015,Number,245
County,Bourbon,2016,Number,294
County,Bourbon,2017,Number,291
County,Bourbon,2018,Number,321
County,Bourbon,2019,Number,311
County,Bourbon,2020,Number,259
County,Bourbon,2021,Number,189
County,Bourbon,2022,Number,218
County,Boyd,2001,Number,513
County,Boyd,2002,Number,411
County,Boyd,2003,Number,394
County,Boyd,2004,Number,711
County,Boyd,2005,Number,640
County,Boyd,2006,Number,693
County,Boyd,2007,Number,622
County,Boyd,2008,Number,704
County,Boyd,2009,Number,651
County,Boyd,2010,Number,508
County,Boyd,2011,Number,636
County,Boyd,2012,Number,671
County,Boyd,2013,Number,482
County,Boyd,2014,Number,428
County,Boyd,2015,Number,352
County,Boyd,2016,Number,442
County,Boyd,2017,Number,450
County,Boyd,2018,Number,509
County,Boyd,2019,Number,477
County,Boyd,2020,Number,415
County,Boyd,2021,Number,331
County,Boyd,2022,Number,300
County,Boyle,2001,Number,256
County,Boyle,2002,Number,218
County,Boyle,2003,Number,302
County,Boyle,2004,Number,549
County,Boyle,2005,Number,607
County,Boyle,2006,Number,588
County,Boyle,2007,Number,532
County,Boyle,2008,Number,532
County,Boyle,2009,Number,471
County,Boyle,2010,Number,405
County,Boyle,2011,Number,421
County,Boyle,2012,Number,398
County,Boyle,2013,Number,278
County,Boyle,2014,Number,218
County,Boyle,2015,Number,236
County,Boyle,2016,Number,278
County,Boyle,2017,Number,294
County,Boyle,2018,Number,365
County,Boyle,2019,Number,348
County,Boyle,2020,Number,278
County,Boyle,2021,Number,252
County,Boyle,2022,Number,234
County,Bracken,2001,Number,43
County,Bracken,2002,Number,61
County,Bracken,2003,Number,56
County,Bracken,2004,Number,114
County,Bracken,2005,Number,136
County,Bracken,2006,Number,135
County,Bracken,2007,Number,153
County,Bracken,2008,Number,174
County,Bracken,2009,Number,119
County,Bracken,2010,Number,131
County,Bracken,2011,Number,173
County,Bracken,2012,Number,112
County,Bracken,2013,Number,85
County,Bracken,2014,Number,60
County,Bracken,2015,Number,33
County,Bracken,2016,Number,48
County,Bracken,2017,Number,46
County,Bracken,2018,Number,59
County,Bracken,2019,Number,82
County,Bracken,2020,Number,64
County,Bracken,2021,Number,56
County,Bracken,2022,Number,34
County,Breathitt,2001,Number,119
County,Breathitt,2002,Number,73
County,Breathitt,2003,Number,61
County,Breathitt,2004,Number,86
County,Breathitt,2005,Number,61
County,Breathitt,2006,Number,47
County,Breathitt,2007,Number,46
County,Breathitt,2008,Number,15
County,Breathitt,2009,Number,27
County,Breathitt,2010,Number,32
County,Breathitt,2011,Number,41
County,Breathitt,2012,Number,28
County,Breathitt,2013,Number,18
County,Breathitt,2014,Number,<10
County,Breathitt,2015,Number,13
County,Breathitt,2016,Number,15
County,Breathitt,2017,Number,<10
County,Breathitt,2018,Number,48
County,Breathitt,2019,Number,58
County,Breathitt,2020,Number,62
County,Breathitt,2021,Number,73
County,Breathitt,2022,Number,88
County,Breckinridge,2001,Number,72
County,Breckinridge,2002,Number,71
County,Breckinridge,2003,Number,83
County,Breckinridge,2004,Number,143
County,Breckinridge,2005,Number,224
County,Breckinridge,2006,Number,216
County,Breckinridge,2007,Number,177
County,Breckinridge,2008,Number,172
County,Breckinridge,2009,Number,142
County,Breckinridge,2010,Number,107
County,Breckinridge,2011,Number,95
County,Breckinridge,2012,Number,79
County,Breckinridge,2013,Number,65
County,Breckinridge,2014,Number,65
County,Breckinridge,2015,Number,51
County,Breckinridge,2016,Number,21
County,Breckinridge,2017,Number,32
County,Breckinridge,2018,Number,38
County,Breckinridge,2019,Number,102
County,Breckinridge,2020,Number,92
County,Breckinridge,2021,Number,75
County,Breckinridge,2022,Number,101
County,Bullitt,2001,Number,388
County,Bullitt,2002,Number,465
County,Bullitt,2003,Number,563
County,Bullitt,2004,Number,846
County,Bullitt,2005,Number,919
County,Bullitt,2006,Number,979
County,Bullitt,2007,Number,917
County,Bullitt,2008,Number,1105
County,Bullitt,2009,Number,1081
County,Bullitt,2010,Number,1181
County,Bullitt,2011,Number,1248
County,Bullitt,2012,Number,1288
County,Bullitt,2013,Number,984
County,Bullitt,2014,Number,807
County,Bullitt,2015,Number,631
County,Bullitt,2016,Number,768
County,Bullitt,2017,Number,757
County,Bullitt,2018,Number,769
County,Bullitt,2019,Number,883
County,Bullitt,2020,Number,722
County,Bullitt,2021,Number,599
County,Bullitt,2022,Number,612
County,Butler,2001,Number,39
County,Butler,2002,Number,45
County,Butler,2003,Number,39
County,Butler,2004,Number,69
County,Butler,2005,Number,91
County,Butler,2006,Number,84
County,Butler,2007,Number,105
County,Butler,2008,Number,126
County,Butler,2009,Number,119
County,Butler,2010,Number,100
County,Butler,2011,Number,108
County,Butler,2012,Number,88
County,Butler,2013,Number,68
County,Butler,2014,Number,56
County,Butler,2015,Number,43
County,Butler,2016,Number,41
County,Butler,2017,Number,41
County,Butler,2018,Number,49
County,Butler,2019,Number,64
County,Butler,2020,Number,39
County,Butler,2021,Number,25
County,Butler,2022,Number,35
County,Caldwell,2001,Number,54
County,Caldwell,2002,Number,60
County,Caldwell,2003,Number,40
County,Caldwell,2004,Number,66
County,Caldwell,2005,Number,88
County,Caldwell,2006,Number,84
County,Caldwell,2007,Number,96
County,Caldwell,2008,Number,101
County,Caldwell,2009,Number,74
County,Caldwell,2010,Number,75
