LocationType,Location,TimeFrame,DataFormat,Data
School District,Barren Co.,2020,Rate,91.4
School District,Barren Co.,2021,Rate,93.4
School District,Barren Co.,2022,Rate,95.2
School District,Barren Co.,2023,Rate,97.1
School District,Barren Co.,2024,Rate,96.3
School District,Bath Co.,2013,Rate,86.9
School District,Bath Co.,2014,Rate,88.9
School District,Bath Co.,2015,Rate,93.3
School District,Bath Co.,2016,Rate,93.2
School District,Bath Co.,2017,Rate,91.4
School District,Bath Co.,2018,Rate,93.8
School District,Bath Co.,2019,Rate,93
School District,Bath Co.,2020,Rate,87
School District,Bath Co.,2021,Rate,88
School District,Bath Co.,2022,Rate,91
School District,Bath Co.,2023,Rate,96.6
School District,Bath Co.,2024,Rate,96.5
School District,Beechwood Ind.,2013,Rate,98.8
School District,Beechwood Ind.,2014,Rate,97.8
School District,Beechwood Ind.,2015,Rate,97.1
School District,Beechwood Ind.,2016,Rate,100
School District,Beechwood Ind.,2017,Rate,97.2
School District,Beechwood Ind.,2018,Rate,96.4
School District,Beechwood Ind.,2019,Rate,99
School District,Beechwood Ind.,2020,Rate,100
School District,Beechwood Ind.,2021,Rate,99.1
School District,Beechwood Ind.,2022,Rate,94.5
School District,Beechwood Ind.,2023,Rate,99.1
School District,Beechwood Ind.,2024,Rate,93.5
School District,Bell Co.,2013,Rate,88
School District,Bell Co.,2014,Rate,93.4
School District,Bell Co.,2015,Rate,94.7
School District,Bell Co.,2016,Rate,96.1
School District,Bell Co.,2017,Rate,95.4
School District,Bell Co.,2018,Rate,96.9
School District,Bell Co.,2019,Rate,95.1
School District,Bell Co.,2020,Rate,96.1
School District,Bell Co.,2021,Rate,92
School District,Bell Co.,2022,Rate,88.1
School District,Bell Co.,2023,Rate,91.6
School District,Bell Co.,2024,Rate,91.4
School District,Bellevue Ind.,2013,Rate,94.1
School District,Bellevue Ind.,2014,Rate,92.9
School District,Bellevue Ind.,2015,Rate,92.7
School District,Bellevue Ind.,2016,Rate,95.5
School District,Bellevue Ind.,2017,Rate,98.3
School District,Bellevue Ind.,2018,Rate,100
School District,Bellevue Ind.,2019,Rate,100
School District,Bellevue Ind.,2020,Rate,97.9
School District,Bellevue Ind.,2021,Rate,86.9
School District,Bellevue Ind.,2022,Rate,95.8
School District,Bellevue Ind.,2023,Rate,100
School District,Bellevue Ind.,2024,Rate,100
School District,Berea Ind.,2013,Rate,95.8
School District,Berea Ind.,2014,Rate,91.4
School District,Berea Ind.,2015,Rate,92.6
School District,Berea Ind.,2016,Rate,100
School District,Berea Ind.,2017,Rate,97.8
School District,Berea Ind.,2018,Rate,94.3
School District,Berea Ind.,2019,Rate,94.5
School District,Berea Ind.,2020,Rate,90.7
School District,Berea Ind.,2021,Rate,93.4
School District,Berea Ind.,2022,Rate,84.2
School District,Berea Ind.,2023,Rate,88.8
School District,Berea Ind.,2024,Rate,90.8
School District,Boone Co.,2013,Rate,92.3
School District,Boone Co.,2014,Rate,92.7
School District,Boone Co.,2015,Rate,90.9
School District,Boone Co.,2016,Rate,94.5
School District,Boone Co.,2017,Rate,95.2
School District,Boone Co.,2018,Rate,94
School District,Boone Co.,2019,Rate,94.1
School District,Boone Co.,2020,Rate,95.6
School District,Boone Co.,2021,Rate,94
School District,Boone Co.,2022,Rate,92.3
School District,Boone Co.,2023,Rate,94.5
School District,Boone Co.,2024,Rate,96.2
School District,Bourbon Co.,2013,Rate,90.5
School District,Bourbon Co.,2014,Rate,91.7
